date,sentiment_score,nike_sentiment,lvmh_sentiment,inditex_sentiment,general_sentiment
2026-04-23,0.0,0.0,0.0,0.0,0.0
2026-04-24,0.18181818181818182,0.0,0.3333333333333333,0.0,0.125
2026-04-25,0.0,0.0,0.0,0.0,0.0
2026-04-26,0.0,0.0,0.0,0.0,0.0
2026-04-27,-0.2,0.0,0.0,0.0,-0.2
2026-04-28,0.0,0.0,0.0,0.0,0.0
2026-04-29,0.0,0.0,0.0,0.0,0.0
2026-04-30,0.0,0.0,0.0,0.0,0.0
2026-05-01,0.375,0.45,0.05,-0.09999999999999999,0.4
2026-05-02,0.2125,-0.2,0.05,-0.09999999999999999,0.3333333333333333
2026-05-03,0.125,0.45,0.35,0.15,0.0
2026-05-04,0.16999999999999998,-0.2,0.05,-0.09999999999999999,0.25
2026-05-05,0.05,0.45,0.05,-0.09999999999999999,0.0
2026-05-06,-0.03,-0.2,0.13124999999999998,-0.09999999999999999,0.0
2026-05-07,0.20454545454545456,0.45,0.05,0.15,0.2
2026-05-08,-0.14333333333333334,-0.2,0.05,-0.09999999999999999,-0.14285714285714285
2026-05-09,0.05,0.45,0.35,-0.09999999999999999,0.0
2026-05-10,-0.03,-0.2,0.011538461538461537,-0.09999999999999999,0.0
2026-05-11,-0.04411764705882353,0.45,0.01875,0.15,-0.06666666666666667
2026-05-12,-0.011538461538461537,-0.2,0.08076923076923076,-0.09999999999999999,0.0
2026-05-13,-0.041666666666666664,0.45,0.01875,-0.09999999999999999,-0.0625
2026-05-14,0.07727272727272727,-0.2,0.05,-0.09999999999999999,0.1
2026-05-15,0.25,0.45,0.35,0.15,0.0
